a	ə	[a:ə]
abott	əˈbɑːt	[a:ə].ˈ[b:b|o:ɑː|tt:t]
abou	əˈbuː	[a:ə].ˈ[b:b|ou:uː]
aboud	ɑːˈbuːd	[a:ɑː].ˈ[b:b|ou:uː|d:d]
abouhalima	ˌɑːbuːhɑːˈliːmə	ˌ[a:ɑː].[b:b|ou:uː].[h:h|a:ɑː].ˈ[l:l|i:iː].[m:m|a:ə]
abouhalima's	ˌɑːbuːhɑːˈliːməz	ˌ[a:ɑː].[b:b|ou:uː].[h:h|a:ɑː].ˈ[l:l|i:iː].[m:m|a:ə|'s:z]
abound	əˈbaʊnd	[a:ə].ˈ[b:b|ou:aʊ|n:n|d:d]
abounded	əˈbaʊndɪd	[a:ə].ˈ[b:b|ou:aʊ|n:n].[d:d|e:ɪ|d:d]
abounding	əˈbaʊndɪŋ	[a:ə].ˈ[b:b|ou:aʊ|n:n].[d:d|i:ɪ|ng:ŋ]
abounds	əˈbaʊndz	[a:ə].ˈ[b:b|ou:aʊ|n:n|d:d|s:z]
about	əˈbaʊt	[a:ə].ˈ[b:b|ou:aʊ|t:t]
about's	əˈbaʊts	[a:ə].ˈ[b:b|ou:aʊ|t:t|'s:s]
above	əˈbʌv	[a:ə].ˈ[b:b|o:ʌ|ve:v]
above's	əˈbʌvz	[a:ə].ˈ[b:b|o:ʌ|ve:v|'s:z]
aboveboard	əˈbʌvˌbɔːrd	[a:ə].ˈ[b:b|o:ʌ|ve:v].ˌ[b:b|oa:ɔː|r:r|d:d]
abplanalp	ˈæbplənælp	ˈ[a:æ|b:b].[p:p|l:l|a:ə].[n:n|a:æ|l:l|p:p]
abra	ˈɑːbrə	ˈ[a:ɑː].[b:b|r:r|a:ə]
abracadabra	ˌæbrəkəˈdæbrə	ˌ[a:æ].[b:b|r:r|a:ə].[c:k|a:ə].ˈ[d:d|a:æ].[b:b|r:r|a:ə]
abrade	æˈbreɪd	[a:æ].ˈ[b:b|r:r|a:eɪ|de:d]
abraded	æˈbreɪdɪd	[a:æ].ˈ[b:b|r:r|a:eɪ].[d:d|e:ɪ|d:d]
abrades	æˈbreɪdz	[a:æ].ˈ[b:b|r:r|a:eɪ|d:d|es:z]
abraham	ˈeɪbrəˌhæm	ˈ[a:eɪ].[b:b|r:r|a:ə].ˌ[h:h|a:æ|m:m]
abrahamian	ˌæbrəˈheɪmiːən	ˌ[a:æ].[b:b|r:r|a:ə].ˈ[h:h|a:eɪ].[m:m|i:iː].[a:ə|n:n]
abrahams	ˈeɪbrəˌhæmz	ˈ[a:eɪ].[b:b|r:r|a:ə].ˌ[h:h|a:æ|m:m|s:z]
abrahamsen	æbrəˈhæmsən	[a:æ].[b:b|r:r|a:ə].ˈ[h:h|a:æ|m:m].[s:s|e:ə|n:n]
abrahamson	əˈbræhəmsən	[a:ə].ˈ[b:b|r:r|a:æ].[h:h|a:ə|m:m].[s:s|o:ə|n:n]
abram	əˈbræm	[a:ə].ˈ[b:b|r:r|a:æ|m:m]
abram's	ˈeɪbrəmz	ˈ[a:eɪ].[b:b|r:r|a:ə|m:m|'s:z]
abramczyk	ˈɑːbrəmtʃɪk	ˈ[a:ɑː].[b:b|r:r|a:ə|m:m].[cz:tʃ|y:ɪ|k:k]
abramo	ɑːˈbrɑːmoʊ	[a:ɑː].ˈ[b:b|r:r|a:ɑː].[m:m|o:oʊ]
abramovitz	əˈbrɑːməvɪts	[a:ə].ˈ[b:b|r:r|a:ɑː].[m:m|o:ə].[v:v|i:ɪ|t:t|z:s]
abramowicz	əˈbrɑːməvɪtʃ	[a:ə].ˈ[b:b|r:r|a:ɑː].[m:m|o:ə].[w:v|i:ɪ|cz:tʃ]
abramowitz	əˈbrɑːməwɪts	[a:ə].ˈ[b:b|r:r|a:ɑː].[m:m|o:ə].[w:w|i:ɪ|t:t|z:s]
abrams	ˈeɪbrəmz	ˈ[a:eɪ].[b:b|r:r|a:ə|m:m|s:z]
abrams's	ˈeɪbrəmzɪz	ˈ[a:eɪ].[b:b|r:r|a:ə|m:m].[s:zɪ|'s:z]
abramson	ˈeɪbrəmsən	ˈ[a:eɪ].[b:b|r:r|a:ə|m:m].[s:s|o:ə|n:n]
abrasion	əˈbreɪʒən	[a:ə].ˈ[b:b|r:r|a:eɪ].[si:ʒ|o:ə|n:n]
abrasions	əˈbreɪʒənz	[a:ə].ˈ[b:b|r:r|a:eɪ].[si:ʒ|o:ə|n:n|s:z]
abrasive	əˈbreɪsɪv	[a:ə].ˈ[b:b|r:r|a:eɪ].[s:s|i:ɪ|ve:v]
abrasives	əˈbreɪsɪvz	[a:ə].ˈ[b:b|r:r|a:eɪ].[s:s|i:ɪ|v:v|es:z]
abraxa	əˈbræksə	[a:ə].ˈ[b:b|r:r|a:æ|x:ks].[a:ə]
abraxa's	əˈbræksəz	[a:ə].ˈ[b:b|r:r|a:æ|x:ks].[a:ə|'s:z]
abraxas	əˈbræksəz	[a:ə].ˈ[b:b|r:r|a:æ|x:ks].[a:ə|s:z]
abreast	əˈbrest	[a:ə].ˈ[b:b|r:r|ea:e|s:s|t:t]
abrego	ɑːˈbreɡoʊ	[a:ɑː].ˈ[b:b|r:r|e:e].[g:ɡ|o:oʊ]
abreu	əˈbruː	[a:ə].ˈ[b:b|re:r|u:uː]
abridge	əˈbrɪdʒ	[a:ə].ˈ[b:b|r:r|i:ɪ|dge:dʒ]
abridged	əˈbrɪdʒd	[a:ə].ˈ[b:b|r:r|i:ɪ|dg:dʒ|ed:d]
abridgement	əˈbrɪdʒmənt	[a:ə].ˈ[b:b|r:r|i:ɪ|dge:dʒ].[m:m|e:ə|n:n|t:t]
abridges	əˈbrɪdʒəz	[a:ə].ˈ[b:b|r:r|i:ɪ].[dg:dʒ|e:ə|s:z]
abridging	əˈbrɪdʒɪŋ	[a:ə].ˈ[b:b|r:r|i:ɪ].[dg:dʒ|i:ɪ|ng:ŋ]
abril	əˈbrɪl	[a:ə].ˈ[b:b|r:r|i:ɪ|l:l]
abroad	əˈbrɔːd	[a:ə].ˈ[b:b|r:r|oa:ɔː|d:d]
abrogate	ˈæbrəˌɡeɪt	ˈ[a:æ].[b:b|r:r|o:ə].ˌ[g:ɡ|a:eɪ|te:t]
abrogated	ˈæbrəˌɡeɪtɪd	ˈ[a:æ].[b:b|r:r|o:ə].ˌ[g:ɡ|a:eɪ].[t:t|e:ɪ|d:d]
abrogating	ˈæbrəˌɡeɪtɪŋ	ˈ[a:æ].[b:b|r:r|o:ə].ˌ[g:ɡ|a:eɪ].[t:t|i:ɪ|ng:ŋ]
abrogation	ˌæbrəˈɡeɪʃən	ˌ[a:æ].[b:b|r:r|o:ə].ˈ[g:ɡ|a:eɪ].[ti:ʃ|o:ə|n:n]
abrol	əˈbroʊl	[a:ə].ˈ[b:b|r:r|o:oʊ|l:l]
abron	əˈbrɑːn	[a:ə].ˈ[b:b|r:r|o:ɑː|n:n]
abrupt	əˈbrʌpt	[a:ə].ˈ[b:b|r:r|u:ʌ|p:p|t:t]
abruptly	əˈbrʌptliː	[a:ə].ˈ[b:b|r:r|u:ʌ|p:p|t:t].[l:l|y:iː]
abruptness	əˈbrʌptnəs	[a:ə].ˈ[b:b|r:r|u:ʌ|p:p|t:t].[n:n|e:ə|ss:s]
abrutyn	ˈeɪbruːtɪn	ˈ[a:eɪ].[b:b|r:r|u:uː].[t:t|y:ɪ|n:n]
abruzzese	ɑːbruːtˈseɪziː	[a:ɑː].[b:b|r:r|uz:uː|z:ts].ˈ[e:eɪ].[s:z|e:iː]
abruzzo	ɑːˈbruːzoʊ	[a:ɑː].ˈ[b:b|r:r|u:uː].[zz:z|o:oʊ]
abs	ˈeɪˈbiːˈes	ˈ[a:eɪ].ˈ[b:biː].ˈ[s:es]
absalom	ˈæbsələm	ˈ[a:æ|b:b].[s:s|a:ə].[l:l|o:ə|m:m]
absaraka	æbˈsɑːrəkə	[a:æ|b:b].ˈ[s:s|a:ɑː].[r:r|a:ə].[k:k|a:ə]
abscam	ˈæbskæm	ˈ[a:æ|b:b].[s:s|c:k|a:æ|m:m]
abscess	ˈæbˌses	ˈ[a:æ|b:b].ˌ[sc:s|e:e|ss:s]
abscond	æbˈskɑːnd	[a:æ|b:b].ˈ[s:s|c:k|o:ɑː|n:n|d:d]
absconded	æbˈskɑːndɪd	[a:æ|b:b].ˈ[s:s|c:k|o:ɑː|n:n].[d:d|e:ɪ|d:d]
absconding	æbˈskɑːndɪŋ	[a:æ|b:b].ˈ[s:s|c:k|o:ɑː|n:n].[d:d|i:ɪ|ng:ŋ]
absconds	æbˈskɑːndz	[a:æ|b:b].ˈ[s:s|c:k|o:ɑː|n:n|d:d|s:z]
absecon	ˈæbsəkɔːn	ˈ[a:æ|b:b].[s:s|e:ə].[c:k|o:ɔː|n:n]
absence	ˈæbsəns	ˈ[a:æ|b:b].[s:s|e:ə|n:n|ce:s]
absences	ˈæbsənsɪz	ˈ[a:æ|b:b].[s:s|e:ə|n:n].[c:s|e:ɪ|s:z]
absent	ˈæbsənt	ˈ[a:æ|b:b].[s:s|e:ə|n:n|t:t]
absentee	ˌæbsənˈtiː	ˌ[a:æ|b:b].[s:s|e:ə|n:n].ˈ[t:t|ee:iː]
absenteeism	ˌæbsənˈtiːɪzəm	ˌ[a:æ|b:b].[s:s|e:ə|n:n].ˈ[t:t|ee:iː].[i:ɪ].[s:z|m:əm]
absentees	ˌæbsənˈtiːz	ˌ[a:æ|b:b].[s:s|e:ə|n:n].ˈ[t:t|ee:iː|s:z]
absentia	æbˈsenʃə	[a:æ|b:b].ˈ[s:s|e:e|n:n].[ti:ʃ|a:ə]
absher	ˈæbʃər	ˈ[a:æ|b:b].[sh:ʃ|er:ər]
abshier	ˈæbʃiːər	ˈ[a:æ|b:b].[sh:ʃ|i:iː].[er:ər]
abshire	ˈæbˌʃaɪr	ˈ[a:æ|b:b].ˌ[sh:ʃ|i:aɪ|re:r]
absinthe	ˈæbsɪnθ	ˈ[a:æ|b:b].[s:s|i:ɪ|n:n|the:θ]
abso	ˈæbsoʊ	ˈ[a:æ|b:b].[s:s|o:oʊ]
absolom	ˈæbsələm	ˈ[a:æ|b:b].[s:s|o:ə].[l:l|o:ə|m:m]
absolut	ˌæbsəˈluːt	ˌ[a:æ|b:b].[s:s|o:ə].ˈ[l:l|u:uː|t:t]
absolut's	ˌæbsəˈluːts	ˌ[a:æ|b:b].[s:s|o:ə].ˈ[l:l|u:uː|t:t|'s:s]
absolute	ˈæbsəˌluːt	ˈ[a:æ|b:b].[s:s|o:ə].ˌ[l:l|u:uː|te:t]
absolutely	ˌæbsəˈluːtliː	ˌ[a:æ|b:b].[s:s|o:ə].ˈ[l:l|u:uː|te:t].[l:l|y:iː]
absoluteness	ˈæbsəˌluːtnəs	ˈ[a:æ|b:b].[s:s|o:ə].ˌ[l:l|u:uː|te:t].[n:n|e:ə|ss:s]
absolutes	ˈæbsəˌluːts	ˈ[a:æ|b:b].[s:s|o:ə].ˌ[l:l|u:uː|te:t|s:s]
absolution	ˌæbsəˈluːʃən	ˌ[a:æ|b:b].[s:s|o:ə].ˈ[l:l|u:uː].[ti:ʃ|o:ə|n:n]
absolutism	ˈæbsəˌluːˌtɪzəm	ˈ[a:æ|b:b].[s:s|o:ə].ˌ[l:l|u:uː].ˌ[t:t|i:ɪ].[s:z|m:əm]
absolutist	æbsəˈluːtɪst	[a:æ|b:b].[s:s|o:ə].ˈ[l:l|u:uː].[t:t|i:ɪ|s:s|t:t]
absolve	əbˈzɑːlv	[a:ə|b:b].ˈ[s:z|o:ɑː|l:l|ve:v]
absolved	əbˈzɑːlvd	[a:ə|b:b].ˈ[s:z|o:ɑː|l:l|ve:v|d:d]
absolves	əbˈzɑːlvz	[a:ə|b:b].ˈ[s:z|o:ɑː|l:l|v:v|es:z]
absolving	əbˈzɑːlvɪŋ	[a:ə|b:b].ˈ[s:z|o:ɑː|l:l].[v:v|i:ɪ|ng:ŋ]
absorb	əbˈzɔːrb	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r|b:b]
absorbed	əbˈzɔːrbd	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r|b:b|ed:d]
absorbency	əbˈzɔːrbənsiː	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r].[b:b|e:ə|n:n].[c:s|y:iː]
absorbent	əbˈzɔːrbənt	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r].[b:b|e:ə|n:n|t:t]
absorber	əbˈzɔːrbər	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r].[b:b|er:ər]
absorbers	əbˈzɔːrbərz	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r].[b:b|er:ər|s:z]
absorbing	əbˈzɔːrbɪŋ	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r].[b:b|i:ɪ|ng:ŋ]
absorbs	əbˈzɔːrbz	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r|b:b|s:z]
absorption	əbˈzɔːrpʃən	[a:ə|b:b].ˈ[s:z|o:ɔː|r:r|p:p].[ti:ʃ|o:ə|n:n]
abstain	əbˈsteɪn	[a:ə|b:b].ˈ[s:s|t:t|ai:eɪ|n:n]
abstained	əbˈsteɪnd	[a:ə|b:b].ˈ[s:s|t:t|ai:eɪ|n:n|ed:d]
abstaining	əbˈsteɪnɪŋ	[a:ə|b:b].ˈ[s:s|t:t|ai:eɪ].[n:n|i:ɪ|ng:ŋ]
abstention	əbˈstentʃən	[a:ə|b:b].ˈ[s:s|t:t|e:e|n:n].[ti:tʃ|o:ə|n:n]
abstentions	əbˈstentʃənz	[a:ə|b:b].ˈ[s:s|t:t|e:e|n:n].[ti:tʃ|o:ə|n:n|s:z]
abstinence	ˈæbstənəns	ˈ[a:æ|b:b].[s:s|t:t|i:ə].[n:n|e:ə|n:n|ce:s]
abstinent	ˈæbstənənt	ˈ[a:æ|b:b].[s:s|t:t|i:ə].[n:n|e:ə|n:n|t:t]
abston	ˈæbstən	ˈ[a:æ|b:b].[s:s|t:t|o:ə|n:n]
abstract	æbˈstrækt	[a:æ|b:b].ˈ[s:s|t:t|r:r|a:æ|c:k|t:t]
abstracted	ˈæbˌstræktɪd	ˈ[a:æ|b:b].ˌ[s:s|t:t|r:r|a:æ|c:k].[t:t|e:ɪ|d:d]
abstraction	æbˈstrækʃən	[a:æ|b:b].ˈ[s:s|t:t|r:r|a:æ|c:k].[ti:ʃ|o:ə|n:n]
abstractions	æbˈstrækʃənz	[a:æ|b:b].ˈ[s:s|t:t|r:r|a:æ|c:k].[ti:ʃ|o:ə|n:n|s:z]
abstracts	ˈæbstrækts	ˈ[a:æ|b:b].[s:s|t:t|r:r|a:æ|c:k|t:t|s:s]
abstruse	əbˈstruːs	[a:ə|b:b].ˈ[s:s|t:t|r:r|u:uː|se:s]
absurd	əbˈsɜːrd	[a:ə|b:b].ˈ[s:s|ur:ɜːr|d:d]
absurdist	əbˈsɜːrdɪst	[a:ə|b:b].ˈ[s:s|ur:ɜːr].[d:d|i:ɪ|s:s|t:t]
absurdities	əbˈsɜːrdətiːz	[a:ə|b:b].ˈ[s:s|ur:ɜːr].[d:d|i:ə].[t:t|ie:iː|s:z]
absurdity	əbˈsɜːrdətiː	[a:ə|b:b].ˈ[s:s|ur:ɜːr].[d:d|i:ə].[t:t|y:iː]
absurdly	əbˈsɜːrdliː	[a:ə|b:b].ˈ[s:s|ur:ɜːr|d:d].[l:l|y:iː]
abt	ˈæbt	ˈ[a:æ|b:b|t:t]
abts	ˈæbts	ˈ[a:æ|b:b|t:t|s:s]
abu	ˈæbuː	ˈ[a:æ].[b:b|u:uː]
abudrahm	əˈbʌdrəm	[a:ə].ˈ[b:b|u:ʌ].[d:d|r:r|ah:ə|m:m]
abuellah	əbˈwelə	[a:ə|b:b].ˈ[u:w|e:e].[ll:l|ah:ə]
abuellah's	əbˈweləz	[a:ə|b:b].ˈ[u:w|e:e].[ll:l|ah:ə|'s:z]
abuladze	ˌæbjuːˈlædziː	ˌ[a:æ].[b:b|u:juː].ˈ[l:l|a:æ|d:d].[z:z|e:iː]
abundance	əˈbʌndəns	[a:ə].ˈ[b:b|u:ʌ|n:n].[d:d|a:ə|n:n|ce:s]
abundant	əˈbʌndənt	[a:ə].ˈ[b:b|u:ʌ|n:n].[d:d|a:ə|n:n|t:t]
abundantly	əˈbʌndəntliː	[a:ə].ˈ[b:b|u:ʌ|n:n].[d:d|a:ə|n:n|t:t].[l:l|y:iː]
aburto	əˈbʊrˌtoʊ	[a:ə].ˈ[b:b|u:ʊ|r:r].ˌ[t:t|o:oʊ]
aburto's	əˈbʊrˌtoʊz	[a:ə].ˈ[b:b|u:ʊ|r:r].ˌ[t:t|o:oʊ|'s:z]
abuse	əˈbjuːs	[a:ə].ˈ[b:b|u:juː|se:s]
abused	əˈbjuːzd	[a:ə].ˈ[b:b|u:juː|s:z|ed:d]
abuser	əˈbjuːzər	[a:ə].ˈ[b:b|u:juː].[s:z|er:ər]
abusers	əˈbjuːzərz	[a:ə].ˈ[b:b|u:juː].[s:z|er:ər|s:z]
abuses	əˈbjuːsɪz	[a:ə].ˈ[b:b|u:juː].[s:s|e:ɪ|s:z]
abusing	əˈbjuːzɪŋ	[a:ə].ˈ[b:b|u:juː].[s:z|i:ɪ|ng:ŋ]
abusive	əˈbjuːsɪv	[a:ə].ˈ[b:b|u:juː].[s:s|i:ɪ|ve:v]
abut	əˈbʌt	[a:ə].ˈ[b:b|u:ʌ|t:t]
abuts	əˈbʌts	[a:ə].ˈ[b:b|u:ʌ|t:t|s:s]
abutted	əˈbʌtɪd	[a:ə].ˈ[b:b|u:ʌ].[tt:t|e:ɪ|d:d]
abutting	əˈbʌtɪŋ	[a:ə].ˈ[b:b|u:ʌ].[tt:t|i:ɪ|ng:ŋ]
abuzz	əˈbʌz	[a:ə].ˈ[b:b|u:ʌ|zz:z]
abysmal	əˈbɪzməl	[a:ə].ˈ[b:b|y:ɪ|s:z].[m:m|a:ə|l:l]
abysmally	əˈbɪzməliː	[a:ə].ˈ[b:b|y:ɪ|s:z].[m:m|a:ə].[ll:l|y:iː]
abyss	əˈbɪs	[a:ə].ˈ[b:b|y:ɪ|ss:s]
abyssinia	æbˈsɪˌniːə	[a:æ|by:b].ˈ[ss:s|i:ɪ].ˌ[n:n|i:iː].[a:ə]
abyssinian	æbˈsɪˌniːən	[a:æ|by:b].ˈ[ss:s|i:ɪ].ˌ[n:n|i:iː].[a:ə|n:n]
abzug	ˈæbˌzʌɡ	ˈ[a:æ|b:b].ˌ[z:z|u:ʌ|g:ɡ]
ac	ˈeɪˈsiː	ˈ[a:eɪ].ˈ[c:siː]
aca	ˈækə	ˈ[a:æ].[c:k|a:ə]
acacia	əˈkeɪʃə	[a:ə].ˈ[c:k|a:eɪ].[ci:ʃ|a:ə]
academe	ˈækəˌdiːm	ˈ[a:æ].[c:k|a:ə].ˌ[d:d|e:iː|me:m]
academia	ˌækəˈdiːmiːə	ˌ[a:æ].[c:k|a:ə].ˈ[d:d|e:iː].[m:m|i:iː].[a:ə]
academic	ˌækəˈdemɪk	ˌ[a:æ].[c:k|a:ə].ˈ[d:d|e:e].[m:m|i:ɪ|c:k]
academically	ˌækəˈdemɪkliː	ˌ[a:æ].[c:k|a:ə].ˈ[d:d|e:e].[m:m|i:ɪ].[ca:k|ll:l|y:iː]
academician	ˌækədəˈmɪʃən	ˌ[a:æ].[c:k|a:ə].[d:d|e:ə].ˈ[m:m|i:ɪ].[ci:ʃ|a:ə|n:n]
academicians	ˌækədəˈmɪʃənz	ˌ[a:æ].[c:k|a:ə].[d:d|e:ə].ˈ[m:m|i:ɪ].[ci:ʃ|a:ə|n:n|s:z]
academics	ˌækəˈdemɪks	ˌ[a:æ].[c:k|a:ə].ˈ[d:d|e:e].[m:m|i:ɪ|c:k|s:s]
academies	əˈkædəmiːz	[a:ə].ˈ[c:k|a:æ].[d:d|e:ə].[m:m|ie:iː|s:z]
academy	əˈkædəmiː	[a:ə].ˈ[c:k|a:æ].[d:d|e:ə].[m:m|y:iː]
academy's	əˈkædəmiːz	[a:ə].ˈ[c:k|a:æ].[d:d|e:ə].[m:m|y:iː|'s:z]
acadia	əˈkeɪdiːə	[a:ə].ˈ[c:k|a:eɪ].[d:d|i:iː].[a:ə]
acampo	əˈkɑːmpoʊ	[a:ə].ˈ[c:k|a:ɑː|m:m].[p:p|o:oʊ]
acampora	əˈkæmpərə	[a:ə].ˈ[c:k|a:æ|m:m].[p:p|or:ər].[a:ə]
acampsia	əˈkæmpsjə	[a:ə].ˈ[c:k|a:æ|m:m|p:p].[s:s|i:j|a:ə]
acantha	ɑːˈkɑːnðə	[a:ɑː].ˈ[c:k|a:ɑː|n:n].[th:ð|a:ə]
acapulco	ˌækəˈpʊlkoʊ	ˌ[a:æ].[c:k|a:ə].ˈ[p:p|u:ʊ|l:l].[c:k|o:oʊ]
acary	ˈækəriː	ˈ[a:æ].[c:k|ar:ər].[y:iː]
acc	ˌaɪˌsiːˈsiː	ˌ[a:aɪ].ˌ[c:siː].ˈ[c:siː]
accardi	ɑːˈkɑːrdiː	[a:ɑː].ˈ[cc:k|a:ɑː|r:r].[d:d|i:iː]
accardo	ɑːˈkɑːrdoʊ	[a:ɑː].ˈ[cc:k|a:ɑː|r:r].[d:d|o:oʊ]
accede	ækˈsiːd	[a:æ|c:k].ˈ[c:s|e:iː|de:d]
acceded	ækˈsiːdɪd	[a:æ|c:k].ˈ[c:s|e:iː].[d:d|e:ɪ|d:d]
accedes	ækˈsiːdz	[a:æ|c:k].ˈ[c:s|e:iː|d:d|es:z]
acceding	ækˈsiːdɪŋ	[a:æ|c:k].ˈ[c:s|e:iː].[d:d|i:ɪ|ng:ŋ]
accel	əkˈsel	[a:ə|c:k].ˈ[c:s|e:e|l:l]
accelerant	ækˈselərənt	[a:æ|c:k].ˈ[c:s|e:e].[l:l|er:ər].[a:ə|n:n|t:t]
accelerants	ækˈselərənts	[a:æ|c:k].ˈ[c:s|e:e].[l:l|er:ər].[a:ə|n:n|t:t|s:s]
accelerate	ækˈselərˌeɪt	[a:æ|c:k].ˈ[c:s|e:e].[l:l|er:ər].ˌ[a:eɪ|te:t]
accelerated	ækˈselərˌeɪtɪd	[a:æ|c:k].ˈ[c:s|e:e].[l:l|er:ər].ˌ[a:eɪ].[t:t|e:ɪ|d:d]
accelerates	ækˈselərˌeɪts	[a:æ|c:k].ˈ[c:s|e:e].[l:l|er:ər].ˌ[a:eɪ|te:t|s:s]
accelerating	ækˈselərˌeɪtɪŋ	[a:æ|c:k].ˈ[c:s|e:e].[l:l|er:ər].ˌ[a:eɪ].[t:t|i:ɪ|ng:ŋ]
acceleration	ˌækˌselərˈeɪʃən	ˌ[a:æ|c:k].ˌ[c:s|e:e].[l:l|er:ər].ˈ[a:eɪ].[ti:ʃ|o:ə|n:n]
accelerator	ækˈselərˌeɪtər	[a:æ|c:k].ˈ[c:s|e:e].[l:l|er:ər].ˌ[a:eɪ].[t:t|or:ər]
accelerators	ækˈselərˌeɪtərz	[a:æ|c:k].ˈ[c:s|e:e].[l:l|er:ər].ˌ[a:eɪ].[t:t|or:ər|s:z]
accelerometer	ækˌselərˈɑːmətər	[a:æ|c:k].ˌ[c:s|e:e].[l:l|er:ər].ˈ[o:ɑː].[m:m|e:ə].[t:t|er:ər]
accelerometers	ækˌselərˈɑːmətərz	[a:æ|c:k].ˌ[c:s|e:e].[l:l|er:ər].ˈ[o:ɑː].[m:m|e:ə].[t:t|er:ər|s:z]
accent	əkˈsent	[a:ə|c:k].ˈ[c:s|e:e|n:n|t:t]
accented	ˈæksentɪd	ˈ[a:æ|c:k].[c:s|e:e|n:n].[t:t|e:ɪ|d:d]
accenting	ˈæksentɪŋ	ˈ[a:æ|c:k].[c:s|e:e|n:n].[t:t|i:ɪ|ng:ŋ]
accents	ˈæksents	ˈ[a:æ|c:k].[c:s|e:e|n:n|t:t|s:s]
accentuate	ækˈsentʃuːeɪt	[a:æ|c:k].ˈ[c:s|e:e|n:n].[t:tʃ|u:uː].[a:eɪ|te:t]
accentuated	ækˈsentʃuːˌeɪtɪd	[a:æ|c:k].ˈ[c:s|e:e|n:n].[t:tʃ|u:uː].ˌ[a:eɪ].[t:t|e:ɪ|d:d]
accentuates	ækˈsentʃuːˌeɪts	[a:æ|c:k].ˈ[c:s|e:e|n:n].[t:tʃ|u:uː].ˌ[a:eɪ|te:t|s:s]
accentuating	ækˈsentʃuːˌeɪtɪŋ	[a:æ|c:k].ˈ[c:s|e:e|n:n].[t:tʃ|u:uː].ˌ[a:eɪ].[t:t|i:ɪ|ng:ŋ]
accept	ækˈsept	[a:æ|c:k].ˈ[c:s|e:e|p:p|t:t]
acceptability	əkˌseptəˈbɪlətiː	[a:ə|c:k].ˌ[c:s|e:e|p:p].[t:t|a:ə].ˈ[b:b|i:ɪ].[l:l|i:ə].[t:t|y:iː]
acceptable	ækˈseptəbəl	[a:æ|c:k].ˈ[c:s|e:e|p:p].[t:t|a:ə].[b:b|le:əl]
acceptably	ækˈseptəbliː	[a:æ|c:k].ˈ[c:s|e:e|p:p].[t:t|a:ə].[b:b|l:l|y:iː]
acceptance	ækˈseptəns	[a:æ|c:k].ˈ[c:s|e:e|p:p].[t:t|a:ə|n:n|ce:s]
acceptances	ækˈseptənsɪz	[a:æ|c:k].ˈ[c:s|e:e|p:p].[t:t|a:ə|n:n].[c:s|e:ɪ|s:z]
accepted	ækˈseptɪd	[a:æ|c:k].ˈ[c:s|e:e|p:p].[t:t|e:ɪ|d:d]
accepting	ækˈseptɪŋ	[a:æ|c:k].ˈ[c:s|e:e|p:p].[t:t|i:ɪ|ng:ŋ]
accepts	ækˈsepts	[a:æ|c:k].ˈ[c:s|e:e|p:p|t:t|s:s]
access	ˈækˌses	ˈ[a:æ|c:k].ˌ[c:s|e:e|ss:s]
accessed	ˈækˌsest	ˈ[a:æ|c:k].ˌ[c:s|e:e|ss:s|ed:t]
accessibility	ˌæksesəˈbɪlɪtiː	ˌ[a:æ|c:k].[c:s|e:e].[ss:s|i:ə].ˈ[b:b|i:ɪ].[l:l|i:ɪ].[t:t|y:iː]
accessible	ækˈsesəbəl	[a:æ|c:k].ˈ[c:s|e:e].[ss:s|i:ə].[b:b|le:əl]
accessing	ˈækˌsesɪŋ	ˈ[a:æ|c:k].ˌ[c:s|e:e].[ss:s|i:ɪ|ng:ŋ]
accession	əkˈseʃən	[a:ə|c:k].ˈ[c:s|e:e].[ss:ʃ|io:ə|n:n]
accessories	ækˈsesəriːz	[a:æ|c:k].ˈ[c:s|e:e].[ss:s|or:ər].[ie:iː|s:z]
accessorize	ækˈsesərˌaɪz	[a:æ|c:k].ˈ[c:s|e:e].[ss:s|or:ər].ˌ[i:aɪ|ze:z]
accessorized	ækˈsesərˌaɪzd	[a:æ|c:k].ˈ[c:s|e:e].[ss:s|or:ər].ˌ[i:aɪ|ze:z|d:d]
accessory	ækˈsesəriː	[a:æ|c:k].ˈ[c:s|e:e].[ss:s|or:ər].[y:iː]
accetta	ɑːˈtʃetə	[a:ɑː].ˈ[cc:tʃ|e:e].[tt:t|a:ə]
accident	ˈæksədənt	ˈ[a:æ|c:k].[c:s|i:ə].[d:d|e:ə|n:n|t:t]
accident's	ˈæksədənts	ˈ[a:æ|c:k].[c:s|i:ə].[d:d|e:ə|n:n|t:t|'s:s]
accidental	ˌæksəˈdentəl	ˌ[a:æ|c:k].[c:s|i:ə].ˈ[d:d|e:e|n:n].[t:t|a:ə|l:l]
accidentally	ˌæksəˈdentəliː	ˌ[a:æ|c:k].[c:s|i:ə].ˈ[d:d|e:e|n:n].[t:t|a:ə].[ll:l|y:iː]
accidently	ˈæksədəntliː	ˈ[a:æ|c:k].[c:s|i:ə].[d:d|e:ə|n:n|t:t].[l:l|y:iː]
